case_id,company,title,city,department,note,jd_present,human_priority,human_note
F001,德邦快递,运营规划类解决方案类产品类财审类公共事务类人力资源类科技类客户体验类招采类区域岗位(经营方向/运营方向),上海 全国,,/,no,2,
F002,泉峰科技,产品研发工程与制造质量与供应链销售与市场行政与综合管理,南京 上海 越南,,/,no,1,
F003,温氏股份,畜禽研发生产技术/技术服务机械工程生态环保建筑工程财务管理市场营销采购管理人力行政生物制药/药物制剂计算机信息化精益管理食品研发,云浮 肇庆 佛山 广州 揭阳 河源 江门 韶关 北京 安徽 福建 广西 贵州 海南 河北 湖北 湖南 ......,,/,no,1,
F004,阿里巴巴千问事业部,基础算法、应用算法、AI应用研发、AI数据开发(内核、引擎、Alinfra、AgentInfra)、数据产品、运营、设计,北京 广州 杭州 上海,,/,no,3,
F005,阿里国际,技术类、客户体验类、运营类、风险类、数据类、市场营销类、产品类、其他类,杭州 北京 广州 深圳,,/,no,2,
F006,Token Foundry,技术类,北京 上海 杭州,,/,no,1,
F007,菜鸟,算法类、数据类、研发类、物流类、产品类、职能类、运营类、销售类,杭州,,/,no,2,
F008,阿里巴巴,阿里巴巴下属:阿里控股淘天集团 淘宝闪购飞猪 阿里国际 阿里云 TokenFoundry千问办公千问事业部平头哥高德菜鸟虎鯨文娱盒马阿里健康 灵犀互娱,杭州 北京 广州 上海 深圳,,/,no,2,
F009,淘天集团,技术类产品类设计类岗位,杭州 北京,,/,no,2,
F010,芯恩,0P技术类专项技术类发类职能类IT类,青岛,,/,no,0,
F011,星辉游戏,策划类技术类美术类综合类,广州,,/,no,1,
F012,联想,技术方向市场与销售方向设计方向产品与项目方向供应链方向职能方向,北京 大连 哈尔滨 上海 南京 无锡 苏州 杭州 合肥 厦门 南昌 济南 郑州 武汉 深圳 海口 重......,,/,no,2,
F013,天岳先进,材料、物理、化学、机械自动化、销售、供应链、人力、行政、法务、财务等,济南 济宁 上海 海外,,/,no,0,
F014,它石智航,运动控制算法工程师，端到端大模型算法工程师，强化学习算法工程师，具身数据智能算法工程师，机器人通用软件开发工程师，机器人嵌入式开发工程师，AI Infra工程师，机器人运动仿真工程师，机器人力学仿真工......,上海,,/,no,0,
F015,晶丰明源,"技术销售工程师,模拟IC设计工程师,数字IC设计工程师,应用工程师(硬件),应用工程师(软件),系统应用工程师,现场应用工程师(软件),现场应用工程师(硬件),高压器件工程师,BCD器件工程师,工艺整......",上海 南京 苏州 杭州 厦门 深圳 中山 成都 全国,,/,no,1,
F016,毕马威,审计、税务、咨询 相关专业：专业不限,北京 天津 沈阳 大连 上海 南京 无锡 苏州 南通 杭州 宁波 合肥 厦门 济南 青岛 郑州 武汉 ......,,/,no,1,
