case_id,company,title,city,department,note,jd_present,human_priority,human_note
H001,字节跳动,产品经理（商业化）,北京,商业化产品,面向 2027 届；应届生产品方向,no,3,
H002,阿里云,云计算研发工程师,杭州,云产品研发,分布式系统；云原生方向,no,0,
H003,美团,策略产品经理,北京,到店事业群,可关注业务分析能力,no,3,
H004,联想-AI专项,多岗位（含产品经理-AI方向）,多地,,/,no,3,
H005,虎鲸文娱,技术类/产品类/设计类/内容类/运营类,多地,,/,no,2,
H006,灵犀互娱,多岗位（含AI算法/AI产品/研发）,北京 上海 广州,,/,no,2,
H007,小红书,数据分析师,上海,商业化数据,SQL；Python 与指标体系,no,3,
H008,哔哩哔哩,内容运营,上海,社区运营,熟悉内容社区和数据复盘,no,1,
H009,砺算科技,多岗位（含GPU算法/数据分析）,北京 上海 南京,,/,no,1,
H010,高德地图,多岗位（含AI应用算法/大模型应用）,北京 杭州,,/,no,1,
H011,盒马,多岗位（含AI Agent/数据科学家/产品）,上海 杭州,,/,no,2,
H012,阿里巴巴千问事业部,多岗位（含算法/数据产品/运营）,北京 广州 杭州 上海,,/,no,2,
H013,京东,算法工程师（推荐）,北京,零售算法,推荐/搜索算法；要求硕士优先,no,0,
H014,百度,机器学习工程师,北京,智能云,大模型应用与模型训练方向,no,0,
H015,vivo,影像算法工程师,东莞,影像研发,计算机视觉；图像处理方向,no,0,
H016,科大讯飞,NLP 算法工程师,合肥,星火大模型,自然语言处理；LLM 应用,no,0,
H017,上海黄浦投资控股,多岗位（含投资/法务/人工智能）,上海,,/,no,1,
H018,紫龙游戏,多岗位（含AI训练师/客户端/服务端）,上海,,/,no,1,
H019,腾讯,后端开发工程师,深圳,微信事业群,Java / Go 方向；秋招批次,no,0,
H020,网易互娱,游戏策划,广州,游戏研发,热爱游戏；有作品集优先,no,1,
H021,快手,客户端开发工程师,北京,主站研发,Android / iOS 均可投递,no,0,
H022,携程,Java 开发工程师,上海,技术中心,旅游业务线；需准备项目经历,no,0,
H023,滴滴,前端开发工程师,北京,出行平台,React / 工程化基础,no,0,
H024,华为,软件开发工程师,深圳,终端 BG,C++ / Java / 嵌入式方向,no,0,
H025,拼多多,运营管培生,上海,多多买菜,接受全国轮岗,no,1,
H026,德州仪器,多岗位（销售/市场/研发/制造）,多地,,/,no,1,
H027,德邦快递,多岗位（运营/产品/人力/科技）,上海 全国,,/,no,2,
H028,泉峰科技,多岗位（研发/制造/销售/行政）,南京 上海 越南,,/,no,1,
H029,温氏股份,多岗位（研发/生产/财务/市场/人力）,多地,,/,no,1,
H030,阿里国际,多岗位（技术/运营/数据/市场/产品）,杭州 北京 广州 深圳,,/,no,2,
H031,理想汽车,供应链管培生,北京,供应链,适合经管；工业工程背景,no,0,
H032,菜鸟,多岗位（算法/数据/研发/物流/职能）,杭州,,/,no,2,
H033,联想,多岗位（技术/市场/产品/供应链/职能）,多地,,/,no,2,
H034,天岳先进,多岗位（材料/物理/销售/供应链/人力）,多地,,/,no,0,
H035,它石智航,多岗位（算法/机器人软件/AI Infra）,上海,,/,no,0,
H036,晶丰明源,多岗位（技术销售/IC设计/应用工程）,多地,,/,no,1,
