case_id,company,title,city,department,note,jd_present,human_priority,human_note
R001,亿联网络,营销类研发类产品类,厦门,,/,no,1,
R002,华芯巨数微电子,算法工程师C++软件开发工程师/数字后端工程师 产品工程师 标准单元库设计工程师,杭州 上海,,/,no,0,
R003,电科芯片吉芯科技,模拟IC设计工程师数字IC设计工程师测试工程师失效分析工程师 IC应用工程师模块产品开发工程师版图设计工程师设备工程师调试岗,重庆,,/,no,0,
R004,飞猪,技术类、设计类、产品类,北京 杭州,,/,no,2,
R005,阿里巴巴千问办公,产运设类、安全类、研发类、硬件类、数据与算法类、综合类,杭州 上海 深圳,,/,no,3,
R006,阿里健康,AI应用算法工程师、算法工程师-自然语言处理、算法工程师-机器学习、数据分析师、行业运营、AI产品经理、AI数据工程师、市场营销、商家商品运营,杭州,,/,no,3,
R007,柠檬微趣,游戏引擎类AI应用类客户端类策划类数据类后台类运维类测试类,北京,,/,no,2,
R008,紫光国芯,器件工程师模拟设计工程师存储器设计分析与验证工程师存储器数字设计工程师ASIC前端工程师固件工程师ASIC后端工程师SoC数字设计工程师产品测试开发工程师,西安 成都 上海,,/,no,0,
R009,阿里控股,AI应用研发、AgentInfra基础平台研发、AI编译研发、AI框架软件、AI全栈开发、AIInfra软硬件结合、AI架构及后端、RAG引擎研发,杭州 北京 上海 广州,,/,no,0,
R010,平头哥,系统应用技术工程师工艺工程师智能制造算法工程师智能制造工程师工业工程工程师设备运维工程师,上海 北京 深圳 杭州 成都,,/,no,0,
R011,格科,模拟电路设计工程师数字电路设计工程师数字后端设计工程师模拟版图设计工程师算法工程师图像质量与验证工程师,上海 深圳 嘉兴,,/,no,0,
R012,上海立芯,EDA算法工程师 EDA测试工程师 AI平台工程师 AIforEDA算法工程师 EDA产品工程师 EDA应用工程师 后端设计工程师,上海 北京 福州 长沙 成都 西安 深圳,,/,no,0,
R013,蔚来,嵌入式软件工程师,上海,智能座舱,Linux、C/C++、车载系统,no,0,
R014,海康威视,解决方案工程师,杭州,企业业务,技术沟通与客户方案能力,no,1,
R015,博通集成电路（上海）股份有限公司,视频SoC系统设计工程师无线通信系统设计工程师模拟集成电路设计工程师数字集成电路设计工程师嵌入式软件开发工程师,上海 深圳,,/,no,0,
R016,升宇科技,模拟IC设计工程师模拟版图设计工程师系统应用工程师数字设计工程师可靠性工程师ATE测试工程师电源研发工程师项目管理-PI方向,北京 西安 上海,,/,no,1,
R017,叠纸游戏,技术研发类策划类美术类动画CG类市场运营类游戏音频可职能支持类,上海,,/,no,1,
R018,思特威,技术研发类运营类职能类岗位,上海,,/,no,1,
R019,赛乐医疗,国内销售工程师助理电子工程师影像算法工程师产品专员赋能中心管培生国际市场专员海外销售工程师助理机械工程师,江苏 常州,,/,no,1,
R020,麦捷科技,研发工程师电气工程方向研发工程师磁性材料方向工艺工程师海外技术支持工程师东南亚运营支持专员市场专员财务专员,深圳 惠州 成都,,/,no,1,
R021,恪赛科技,系统工程师天线工程师射频工程师通信工程师结构工程师FPGA工程师算法工程师嵌入式工程师测试工程师销售工程师质量工程师采购工程师财务专员人力专员项目管理专员,成都,,/,no,1,
R022,哔哩哔哩,算法开发安全运维产品产品运营内容运营品牌市场商务BD项目管理财务投资游戏开发游戏策划游戏美术游戏运营游戏市场,北京 上海 深圳 海外,,/,no,2,
R023,星宸科技,芯片类算法类软件类供应链类,上海 厦门 深圳 杭州 成都,,/,no,0,
R024,施耐德电气,星熠培训生、商业新星、研发新星、供应链新星,全国,,/,no,1,
